"employee_number","attrition","age","monthly_income","department","job_level","job_role","gender","marital_status","distance_from_home","education","business_travel","over_time","job_satisfaction","environment_satisfaction","job_involvement","performance_rating","relationship_satisfaction","total_working_years","stock_option_level","training_times_last_year","work_life_balance","years_at_company","years_in_current_role","years_since_last_promotion","years_with_curr_manager"
58,"1",41,19545,"Research & Development",5,"Research Director","Female","Married",12,3,"Travel_Rarely","No",3,2,3,3,4,23,0,0,3,22,15,15,8
60,"0",34,4568,"Sales",2,"Sales Executive","Male","Single",23,4,"Non-Travel","No",3,2,3,4,3,10,0,2,3,9,5,8,7
61,"0",37,3022,"Research & Development",1,"Research Scientist","Male","Married",19,2,"Travel_Rarely","No",2,2,3,4,1,8,0,1,3,1,0,0,0
62,"0",46,5772,"Sales",2,"Sales Executive","Male","Single",5,4,"Travel_Frequently","Yes",4,1,3,4,3,14,0,4,3,9,6,0,8
64,"1",48,5381,"Research & Development",3,"Laboratory Technician","Male","Single",1,2,"Travel_Rarely","Yes",3,1,2,3,4,23,0,2,3,1,0,0,0
65,"1",28,3441,"Research & Development",1,"Laboratory Technician","Male","Single",5,4,"Travel_Rarely","Yes",3,3,3,3,3,2,0,3,2,2,2,2,2
70,"0",35,9884,"Research & Development",3,"Healthcare Representative","Male","Married",11,2,"Non-Travel","Yes",1,3,2,3,3,10,1,3,3,4,0,2,3
72,"0",26,4157,"Sales",2,"Sales Executive","Female","Married",23,3,"Travel_Rarely","Yes",4,3,2,3,3,5,1,2,2,2,2,0,0
73,"0",33,13458,"Research & Development",3,"Research Director","Female","Single",1,2,"Travel_Frequently","Yes",4,1,3,3,3,15,0,1,3,15,14,8,12
74,"0",35,9069,"Sales",3,"Sales Executive","Male","Married",18,5,"Travel_Frequently","No",1,2,3,4,4,9,1,3,2,9,8,1,8
77,"0",37,5993,"Research & Development",2,"Manufacturing Director","Male","Divorced",1,4,"Travel_Rarely","No",3,1,2,3,3,7,1,2,4,7,5,0,7
78,"0",32,6162,"Research & Development",2,"Manufacturing Director","Male","Married",1,3,"Travel_Rarely","Yes",4,1,3,4,2,9,1,3,3,9,8,7,8
79,"0",38,2406,"Research & Development",2,"Laboratory Technician","Female","Single",29,5,"Travel_Frequently","No",4,4,3,3,4,10,0,2,3,10,3,9,9
80,"0",50,18740,"Research & Development",5,"Research Director","Female","Divorced",7,2,"Travel_Rarely","Yes",3,2,2,3,4,29,1,2,2,27,3,13,8
81,"0",59,7637,"Sales",3,"Sales Executive","Female","Single",25,3,"Travel_Rarely","No",1,1,3,3,4,28,0,3,2,21,16,7,9
84,"0",55,14756,"Research & Development",4,"Manager","Female","Divorced",8,3,"Travel_Rarely","Yes",3,4,3,3,3,21,3,2,3,5,0,0,2
90,"1",36,3388,"Research & Development",1,"Research Scientist","Male","Married",9,3,"Travel_Rarely","Yes",3,4,2,3,1,2,1,0,2,1,0,0,0
94,"0",29,2703,"Research & Development",1,"Research Scientist","Male","Married",2,3,"Travel_Rarely","No",2,3,3,4,4,6,1,3,3,5,4,0,4
95,"0",31,2501,"Research & Development",1,"Research Scientist","Male","Single",1,4,"Travel_Rarely","No",2,3,3,3,2,1,0,4,3,1,1,1,0
96,"0",32,6220,"Research & Development",2,"Research Scientist","Male","Married",1,3,"Travel_Rarely","No",2,2,3,3,2,10,2,3,3,10,4,0,9
97,"0",36,3038,"Research & Development",1,"Laboratory Technician","Female","Married",6,3,"Travel_Rarely","No",4,2,4,3,2,5,0,3,3,1,0,0,0
98,"0",31,4424,"Research & Development",2,"Manufacturing Director","Female","Single",8,4,"Travel_Rarely","No",4,3,3,4,4,11,0,2,3,11,7,1,8
100,"0",35,4312,"Sales",2,"Sales Executive","Male","Single",1,4,"Travel_Rarely","No",1,3,2,3,2,16,0,2,3,15,13,2,8
101,"0",45,13245,"Research & Development",3,"Research Director","Male","Married",6,4,"Travel_Rarely","Yes",1,4,3,3,2,17,0,3,4,0,0,0,0
102,"0",37,13664,"Research & Development",3,"Research Director","Male","Single",7,4,"Travel_Rarely","No",3,1,3,3,1,16,0,3,4,5,2,0,2
103,"0",46,5021,"Human Resources",2,"Human Resources","Male","Divorced",5,2,"Travel_Rarely","Yes",2,2,3,4,4,16,1,2,3,4,2,0,2
104,"0",30,5126,"Research & Development",2,"Laboratory Technician","Male","Married",1,1,"Travel_Rarely","Yes",4,4,2,3,3,10,2,1,2,10,8,3,0
105,"0",35,2859,"Research & Development",1,"Research Scientist","Male","Single",1,3,"Travel_Rarely","No",3,2,2,3,1,6,0,3,3,6,4,0,4
106,"0",55,10239,"Sales",3,"Sales Executive","Male","Married",1,2,"Travel_Rarely","No",4,1,3,3,4,24,1,4,3,1,0,1,0
110,"0",34,4325,"Research & Development",2,"Manufacturing Director","Male","Married",1,2,"Travel_Rarely","No",2,1,3,3,3,5,0,2,3,5,2,1,3
112,"0",56,7260,"Research & Development",3,"Manufacturing Director","Male","Single",7,3,"Travel_Rarely","No",4,4,1,3,1,37,0,3,2,6,4,0,2
118,"1",46,9619,"Sales",3,"Sales Executive","Male","Single",9,2,"Travel_Rarely","No",4,3,2,3,4,9,0,3,3,9,8,4,7
119,"0",40,13503,"Research & Development",4,"Healthcare Representative","Male","Married",1,4,"Travel_Frequently","No",2,3,2,4,4,22,1,3,2,22,3,11,11
120,"0",51,5441,"Sales",2,"Sales Executive","Male","Single",21,4,"Travel_Rarely","Yes",4,3,3,4,4,11,0,2,1,10,7,1,0
121,"0",30,5209,"Sales",2,"Sales Executive","Female","Divorced",4,2,"Travel_Rarely","Yes",2,3,2,3,2,11,3,4,2,11,8,2,7
124,"0",46,10673,"Research & Development",3,"Healthcare Representative","Male","Married",1,3,"Travel_Frequently","Yes",1,3,2,3,3,21,1,5,2,10,9,9,5
125,"0",32,5010,"Sales",2,"Sales Executive","Male","Single",6,4,"Travel_Rarely","No",3,2,3,3,1,12,0,0,3,11,8,5,7
126,"0",54,13549,"Research & Development",3,"Research Director","Female","Married",2,4,"Travel_Rarely","No",3,1,3,3,1,16,1,5,1,4,3,0,3
129,"0",28,4221,"Sales",2,"Sales Executive","Male","Married",4,3,"Non-Travel","No",3,2,3,3,2,5,0,3,4,5,4,0,4
131,"0",58,13872,"Sales",4,"Sales Executive","Male","Single",10,4,"Travel_Rarely","No",3,4,3,3,3,38,0,1,2,37,10,1,8
132,"0",44,2042,"Research & Development",2,"Laboratory Technician","Male","Married",23,3,"Non-Travel","No",2,2,3,3,3,17,1,3,4,3,2,1,2
133,"1",37,2073,"Human Resources",1,"Human Resources","Male","Divorced",6,4,"Travel_Rarely","Yes",1,3,3,4,4,7,0,3,3,3,2,0,2
134,"0",32,2956,"Research & Development",1,"Research Scientist","Male","Single",1,1,"Travel_Rarely","No",1,4,3,3,4,1,0,2,3,1,0,0,0
137,"1",20,2926,"Research & Development",1,"Laboratory Technician","Female","Single",6,3,"Travel_Frequently","Yes",4,4,2,3,2,1,0,5,3,1,0,1,0
139,"0",37,5163,"Research & Development",2,"Healthcare Representative","Male","Divorced",2,2,"Non-Travel","No",4,3,2,3,4,17,1,2,4,1,0,0,0
142,"1",25,5744,"Sales",2,"Sales Executive","Male","Single",5,3,"Travel_Rarely","Yes",3,3,2,3,4,6,0,1,3,6,4,0,3
143,"0",25,2889,"Research & Development",1,"Research Scientist","Male","Married",7,1,"Travel_Rarely","No",4,4,2,3,3,2,2,2,3,2,2,2,1
144,"0",22,2871,"Research & Development",1,"Laboratory Technician","Female","Single",15,3,"Travel_Rarely","No",4,2,3,3,3,1,0,5,3,0,0,0,0
147,"1",34,6074,"Research & Development",2,"Laboratory Technician","Male","Single",7,3,"Travel_Frequently","Yes",3,1,1,4,4,9,0,3,3,9,7,0,6
148,"0",54,17328,"Human Resources",4,"Manager","Female","Single",26,3,"Non-Travel","Yes",4,4,4,3,3,23,0,3,3,5,3,4,4
151,"0",34,4505,"Research & Development",2,"Research Scientist","Female","Divorced",6,4,"Travel_Rarely","No",2,3,2,3,3,12,1,3,3,1,0,0,0
152,"0",37,7428,"Sales",3,"Sales Executive","Male","Single",3,3,"Travel_Rarely","No",4,3,3,3,1,12,0,3,3,5,3,1,3
153,"0",34,11631,"Research & Development",3,"Manager","Female","Single",5,3,"Travel_Rarely","No",1,3,2,3,4,14,0,6,3,11,10,5,8
155,"0",36,2835,"Research & Development",1,"Laboratory Technician","Female","Divorced",3,2,"Travel_Rarely","No",4,1,3,4,1,7,1,2,3,1,0,0,0
158,"0",43,16959,"Sales",4,"Manager","Male","Married",26,2,"Travel_Frequently","Yes",4,3,3,3,4,25,2,3,4,25,12,4,12
159,"0",30,2613,"Research & Development",1,"Research Scientist","Male","Divorced",23,3,"Travel_Frequently","No",3,1,1,4,3,10,3,2,2,10,7,0,9
160,"0",33,6146,"Sales",2,"Sales Executive","Male","Married",22,2,"Non-Travel","No",2,3,3,3,1,8,1,2,4,7,7,0,7
161,"1",56,4963,"Research & Development",1,"Research Scientist","Female","Married",14,4,"Travel_Rarely","Yes",2,2,3,3,1,7,3,2,3,5,4,4,3
162,"0",51,19537,"Research & Development",5,"Research Director","Male","Single",6,3,"Travel_Rarely","No",3,1,3,3,3,23,0,5,3,20,18,15,15
163,"1",31,6172,"Sales",2,"Sales Executive","Male","Married",6,4,"Travel_Rarely","Yes",3,2,1,3,2,12,0,3,2,7,7,7,7
165,"1",58,10312,"Research & Development",3,"Healthcare Representative","Female","Married",23,4,"Travel_Rarely","No",4,4,3,3,4,40,1,3,2,40,10,15,6
167,"1",19,1675,"Sales",1,"Sales Representative","Male","Single",22,1,"Travel_Rarely","Yes",3,4,3,3,4,0,0,2,2,0,0,0,0
169,"0",22,2523,"Research & Development",1,"Laboratory Technician","Male","Married",2,1,"Travel_Rarely","No",4,3,3,3,3,3,1,2,3,2,1,2,1
170,"0",49,6567,"Research & Development",2,"Manufacturing Director","Female","Married",20,4,"Travel_Rarely","No",1,3,3,3,3,16,0,2,2,15,11,5,11
171,"0",43,4739,"Research & Development",1,"Research Scientist","Female","Single",28,3,"Travel_Frequently","No",3,2,4,3,4,18,0,2,3,3,2,1,2
175,"1",31,4559,"Sales",2,"Sales Executive","Female","Married",20,3,"Travel_Rarely","Yes",3,2,1,3,3,4,1,2,3,2,2,2,2
176,"0",41,8189,"Sales",3,"Sales Executive","Male","Divorced",9,1,"Travel_Rarely","Yes",3,3,3,3,3,12,1,2,3,9,7,0,7
177,"0",26,2942,"Human Resources",1,"Human Resources","Female","Married",25,1,"Travel_Rarely","No",3,3,3,4,4,8,1,3,3,8,7,5,7
178,"0",36,4941,"Research & Development",2,"Manufacturing Director","Male","Divorced",6,2,"Travel_Rarely","No",2,2,3,4,4,7,2,0,3,3,2,0,1
179,"1",51,10650,"Research & Development",3,"Manufacturing Director","Male","Single",8,4,"Travel_Frequently","No",4,1,1,3,4,18,0,2,3,4,2,0,3
184,"0",30,6347,"Human Resources",2,"Human Resources","Male","Married",9,3,"Travel_Rarely","Yes",4,3,3,3,4,12,0,2,1,11,9,4,7
190,"1",32,4200,"Research & Development",1,"Laboratory Technician","Female","Single",9,3,"Travel_Rarely","No",1,1,3,4,1,10,0,2,4,5,4,0,4
192,"0",45,3452,"Research & Development",1,"Research Scientist","Male","Single",29,3,"Travel_Rarely","No",4,3,3,3,2,9,0,2,2,6,5,0,3
193,"0",38,4317,"Research & Development",2,"Research Scientist","Female","Single",3,5,"Travel_Rarely","Yes",3,4,3,4,2,19,0,2,3,3,2,2,2
194,"0",30,2632,"Research & Development",1,"Research Scientist","Female","Single",18,3,"Travel_Rarely","No",3,1,3,3,3,5,0,4,2,5,4,0,4
197,"0",30,3204,"Research & Development",1,"Research Scientist","Female","Divorced",5,3,"Travel_Rarely","No",1,4,3,3,4,8,1,3,3,3,2,2,2
198,"0",30,2720,"Research & Development",1,"Laboratory Technician","Male","Single",2,1,"Travel_Rarely","No",4,2,2,3,4,6,0,3,3,5,3,1,2
199,"0",41,17181,"Research & Development",4,"Manager","Male","Divorced",10,3,"Travel_Frequently","No",1,4,2,3,2,21,1,2,2,7,6,7,7
200,"0",41,2238,"Research & Development",1,"Laboratory Technician","Male","Married",9,4,"Travel_Rarely","No",1,3,3,4,4,7,1,2,3,5,0,1,4
201,"0",19,1483,"Research & Development",1,"Laboratory Technician","Female","Single",3,1,"Travel_Rarely","No",2,2,3,3,4,1,0,3,3,1,0,0,0
204,"0",35,7295,"Sales",3,"Sales Executive","Male","Married",1,5,"Travel_Rarely","No",2,3,3,3,1,10,2,3,3,10,8,0,6
205,"0",53,2306,"Sales",2,"Sales Representative","Male","Married",6,2,"Travel_Rarely","Yes",3,2,3,4,4,13,1,3,1,7,7,4,5
206,"0",45,2348,"Research & Development",2,"Laboratory Technician","Male","Divorced",9,3,"Travel_Rarely","No",2,2,3,3,3,20,1,2,1,17,9,0,15
207,"0",32,8998,"Sales",3,"Sales Executive","Female","Single",8,3,"Travel_Frequently","No",4,2,3,3,4,9,0,2,3,9,8,3,7
208,"0",29,4319,"Research & Development",2,"Manufacturing Director","Male","Married",1,1,"Non-Travel","No",3,4,3,3,1,10,1,1,3,10,7,0,9
211,"0",51,6132,"Research & Development",2,"Manufacturing Director","Male","Married",7,4,"Travel_Rarely","No",3,2,2,3,3,10,0,2,3,1,0,0,0
214,"0",58,3346,"Research & Development",1,"Research Scientist","Female","Married",9,3,"Travel_Rarely","Yes",2,2,2,4,2,9,1,3,2,1,0,0,0
215,"0",40,10855,"Sales",3,"Sales Executive","Male","Married",4,4,"Travel_Rarely","No",4,3,2,3,1,15,1,2,2,12,11,2,11
216,"0",34,2231,"Sales",1,"Sales Representative","Female","Married",2,4,"Travel_Frequently","No",3,3,3,3,4,6,1,3,3,4,3,1,2
217,"0",22,2323,"Research & Development",1,"Research Scientist","Male","Married",19,1,"Travel_Rarely","No",4,3,3,4,1,2,2,6,3,2,2,2,2
218,"0",27,2024,"Research & Development",1,"Research Scientist","Male","Divorced",9,3,"Non-Travel","No",2,4,3,3,4,6,1,1,1,2,2,2,2
221,"0",28,2713,"Research & Development",1,"Research Scientist","Male","Married",21,3,"Travel_Rarely","No",4,3,3,3,3,5,1,2,1,5,2,0,2
223,"0",57,9439,"Research & Development",3,"Healthcare Representative","Male","Divorced",24,2,"Travel_Rarely","Yes",4,3,4,3,2,12,1,2,1,5,3,1,4
224,"0",27,2566,"Research & Development",1,"Research Scientist","Male","Divorced",3,3,"Non-Travel","Yes",3,3,2,3,4,1,1,2,2,1,1,0,1
226,"0",50,19926,"Research & Development",5,"Manager","Female","Single",11,3,"Travel_Rarely","No",2,3,3,3,2,21,0,5,3,5,4,4,4
227,"0",41,2451,"Research & Development",1,"Research Scientist","Male","Divorced",14,3,"Travel_Rarely","No",3,1,3,3,1,13,1,2,3,9,8,1,8
228,"0",30,9419,"Sales",3,"Sales Executive","Female","Married",5,3,"Travel_Rarely","No",4,2,3,3,3,12,1,2,3,10,9,7,4
230,"0",38,8686,"Sales",2,"Sales Executive","Female","Single",1,4,"Travel_Rarely","No",4,1,2,4,3,12,0,2,4,8,3,0,7
231,"0",32,3038,"Research & Development",1,"Research Scientist","Male","Single",6,5,"Travel_Rarely","No",3,3,3,4,1,8,0,2,3,5,4,1,4
233,"0",27,3058,"Research & Development",1,"Research Scientist","Male","Married",17,3,"Travel_Rarely","Yes",2,3,3,3,4,6,1,3,2,5,2,1,1
235,"1",19,2325,"Sales",1,"Sales Representative","Female","Single",1,1,"Travel_Frequently","No",1,3,1,4,1,1,0,5,4,0,0,0,0
239,"0",30,3072,"Research & Development",2,"Laboratory Technician","Male","Divorced",9,3,"Non-Travel","No",1,3,3,3,3,12,2,4,3,12,9,6,10
240,"0",45,5006,"Sales",2,"Sales Executive","Female","Divorced",4,2,"Travel_Rarely","Yes",1,3,3,3,1,9,1,3,4,5,4,0,3
241,"0",56,4257,"Research & Development",1,"Research Scientist","Female","Divorced",8,3,"Travel_Rarely","Yes",1,3,3,3,3,19,1,3,3,2,2,2,2
242,"0",33,2500,"Research & Development",1,"Research Scientist","Male","Single",2,3,"Travel_Rarely","No",4,3,3,3,1,4,0,2,4,3,1,0,2
243,"1",19,1102,"Research & Development",1,"Laboratory Technician","Male","Single",2,3,"Travel_Rarely","No",4,2,2,4,3,1,0,3,2,1,0,1,0
245,"0",38,2288,"Research & Development",1,"Laboratory Technician","Female","Single",9,2,"Travel_Rarely","No",4,3,3,3,3,2,0,3,3,2,2,2,1
247,"0",34,2311,"Research & Development",1,"Research Scientist","Female","Single",27,2,"Travel_Rarely","No",2,4,3,3,4,9,0,3,3,3,2,1,2
248,"1",41,3140,"Sales",1,"Sales Representative","Female","Single",20,2,"Travel_Rarely","Yes",2,2,3,4,4,4,0,5,2,4,3,0,2
249,"0",50,3690,"Research & Development",1,"Laboratory Technician","Male","Married",1,3,"Travel_Rarely","No",3,3,2,3,4,5,1,2,2,3,2,0,2
250,"0",53,4450,"Research & Development",2,"Manufacturing Director","Female","Divorced",13,2,"Travel_Rarely","No",1,4,4,3,3,5,2,3,3,4,2,1,3
252,"0",33,2756,"Research & Development",1,"Research Scientist","Female","Married",14,3,"Travel_Rarely","No",2,4,3,3,4,8,1,5,3,8,7,1,6
253,"0",40,19033,"Research & Development",5,"Manager","Female","Married",4,1,"Travel_Rarely","No",3,4,3,3,2,21,1,2,3,20,8,9,9
254,"0",55,18722,"Research & Development",5,"Research Director","Male","Single",14,4,"Travel_Rarely","No",2,3,4,3,4,36,0,3,3,24,15,2,15
259,"0",52,19999,"Research & Development",5,"Manager","Male","Married",1,4,"Travel_Rarely","No",3,3,2,3,1,34,1,5,3,33,18,11,9
260,"0",27,2279,"Research & Development",1,"Research Scientist","Female","Single",9,3,"Travel_Rarely","No",2,4,3,3,4,7,0,2,2,7,7,0,3
261,"1",35,5916,"Research & Development",2,"Manufacturing Director","Male","Married",23,2,"Travel_Rarely","Yes",3,2,2,3,1,8,0,1,3,1,0,0,1
262,"0",43,2089,"Research & Development",1,"Research Scientist","Male","Divorced",7,3,"Non-Travel","No",4,4,4,3,4,7,3,3,4,5,4,2,2
267,"0",37,3564,"Research & Development",1,"Research Scientist","Male","Married",21,3,"Travel_Rarely","Yes",1,2,4,3,1,8,1,3,2,8,7,1,7
269,"0",35,4425,"Research & Development",2,"Laboratory Technician","Female","Single",2,3,"Travel_Frequently","No",2,2,3,3,4,10,0,5,3,6,2,1,2
270,"0",42,5265,"Research & Development",2,"Manufacturing Director","Female","Divorced",21,2,"Non-Travel","No",3,3,3,3,2,11,1,5,3,5,3,0,2
271,"0",38,6553,"Research & Development",2,"Manufacturing Director","Male","Married",2,4,"Travel_Rarely","No",3,4,3,3,2,14,0,3,3,1,0,0,0
273,"0",38,6261,"Research & Development",2,"Manufacturing Director","Male","Married",29,3,"Travel_Rarely","No",4,4,3,3,1,9,1,3,1,7,7,1,7
274,"0",27,4298,"Research & Development",2,"Manufacturing Director","Male","Married",1,1,"Travel_Frequently","No",1,3,2,3,3,6,1,1,3,2,2,2,0
277,"0",34,3815,"Research & Development",1,"Research Scientist","Male","Divorced",10,4,"Travel_Frequently","Yes",3,4,3,3,4,5,1,4,4,5,3,2,0
281,"0",40,2741,"Research & Development",2,"Laboratory Technician","Male","Married",19,2,"Travel_Rarely","Yes",4,3,3,3,3,15,1,2,4,7,2,3,7
282,"1",38,6673,"Research & Development",2,"Healthcare Representative","Male","Married",29,1,"Travel_Rarely","Yes",1,2,3,3,2,17,0,2,3,1,0,0,0
283,"1",29,7639,"Sales",3,"Sales Executive","Female","Married",27,3,"Travel_Rarely","No",4,2,3,4,4,10,3,3,2,10,4,1,9
284,"0",22,2328,"Research & Development",1,"Research Scientist","Male","Divorced",5,3,"Travel_Rarely","Yes",2,4,4,3,1,4,1,2,2,4,2,2,2
286,"0",36,2153,"Research & Development",1,"Laboratory Technician","Female","Single",18,1,"Travel_Frequently","No",4,2,3,3,1,8,0,2,3,8,1,1,7
287,"0",40,4876,"Research & Development",2,"Healthcare Representative","Male","Married",9,5,"Non-Travel","No",4,4,2,3,4,5,1,5,1,3,2,0,2
288,"0",46,9396,"Research & Development",3,"Healthcare Representative","Male","Divorced",1,4,"Travel_Rarely","No",1,4,3,3,3,17,1,3,3,4,2,0,3
291,"1",32,10400,"Sales",3,"Sales Executive","Male","Married",4,4,"Travel_Rarely","No",4,4,1,3,3,14,0,2,2,14,8,9,8
292,"0",30,8474,"Research & Development",3,"Manufacturing Director","Male","Single",1,1,"Non-Travel","No",3,3,2,4,3,12,0,2,3,11,8,5,8
293,"0",27,9981,"Sales",2,"Sales Executive","Female","Single",20,3,"Travel_Frequently","No",3,4,3,3,4,7,0,2,3,7,7,0,7
296,"0",51,12490,"Research & Development",3,"Research Director","Male","Married",8,4,"Travel_Rarely","No",2,2,2,3,4,16,2,5,1,10,9,4,7
297,"1",30,2657,"Research & Development",1,"Research Scientist","Female","Single",3,3,"Travel_Rarely","Yes",1,4,3,3,3,8,0,5,3,5,2,0,4
298,"0",41,13591,"Sales",3,"Manager","Female","Single",6,3,"Travel_Rarely","Yes",4,4,3,3,3,16,0,3,3,1,0,0,0
299,"1",30,6696,"Sales",2,"Sales Executive","Female","Single",26,4,"Travel_Frequently","No",1,3,2,3,3,9,0,5,2,6,3,0,1
300,"1",29,2058,"Research & Development",1,"Research Scientist","Male","Single",1,3,"Travel_Rarely","No",3,3,3,3,4,7,0,1,2,6,2,1,5
304,"0",36,5914,"Research & Development",2,"Laboratory Technician","Male","Single",5,2,"Travel_Rarely","No",2,4,3,3,4,16,0,3,4,13,11,3,7
306,"0",37,12185,"Research & Development",3,"Research Director","Male","Divorced",11,3,"Travel_Frequently","Yes",4,2,3,3,3,10,3,1,3,10,8,0,7
307,"0",38,10609,"Sales",3,"Sales Executive","Male","Divorced",3,3,"Travel_Rarely","No",3,1,3,3,3,17,2,6,2,16,10,5,13
308,"0",31,4345,"Research & Development",2,"Manufacturing Director","Male","Married",1,4,"Non-Travel","No",3,3,1,3,4,6,1,2,3,5,4,1,4
309,"0",59,2177,"Research & Development",1,"Research Scientist","Male","Married",3,3,"Travel_Rarely","No",4,3,2,3,1,7,1,6,3,1,0,0,0
311,"0",37,2793,"Sales",1,"Sales Representative","Male","Divorced",4,4,"Travel_Frequently","No",4,1,3,3,3,13,1,2,3,9,8,5,8
